name,date_x,score,genre,overview,orig_title,orig_lang,budget_x,country
A Bronx Tale,05/20/1994,78.0,"Drama,Crime","Set in the Bronx during the tumultuous 1960s,an adolescent boy is torn between his honest,working-class father and a violent yet charismatic crime boss. Complicating matters is the youngster's growing attraction - forbidden in his neighborhood - for a beautiful black girl.",A Bronx Tale,English,10000000.0,AU
Big Trip 2: Special Delivery,01/19/2023,65.0,"Animation,Family,Adventure,Comedy","It has been a year since Mic Mic and Oscar returned from their incredible adventure. And now,after a diabolical plan by Vulture to sabotage the delivery of the Grizzly cub to his opponent in the American presidential elections,Mic Mic,Oscar,Panda teenager and Stork set off on another great adventure as they ride a zeppelin to return little Grizzly to its rightful parents and save the American elections and the whole continent from an erupting volcano.",Большое путешествие. Специальная доставка,Russian,95200000.0,AU
Encanto at the Hollywood Bowl,12/28/2022,73.0,Music,"A taped performance of the Encanto Live-to-Film Concert Experience at the Hollywood Bowl. The original cast puts on a miracle of a concert as they sing the favorite songs,accompanied by a full orchestra and 50 person ensemble,and the Hollywood Bowl transforms into Casita!",Encanto at the Hollywood Bowl,English,127000000.0,US
The Forbidden Legend: Sex & Chopsticks 2,03/04/2009,60.0,"Comedy,Drama,Romance","Rich and powerful Simon Qing has been schooled in the ways of sex by his virile father,but is still a virgin. That is,until he meets his first love Violetta who has fun with him all over his father’s estate. Their love does not last,so Simon embarks on a journey. Along the way he meets the comely nun Moon whom Simon deflowers and then marries. He then becomes enamored of Golden Lotus but she is married to dwarf Wu Da-Lang.",金瓶梅2 愛的奴隸,Cantonese,89600000.0,HK
Top Gun: Maverick,05/26/2022,83.0,"Action,Drama","After more than thirty years of service as one of the Navy’s top aviators,and dodging the advancement in rank that would ground him,Pete “Maverick” Mitchell finds himself training a detachment of TOP GUN graduates for a specialized mission the likes of which no living pilot has ever seen.",Top Gun: Maverick,English,170000000.0,AU
On a Wing and a Prayer,04/06/2023,65.0,"Drama,Thriller","After their pilot dies unexpectedly mid-flight,passenger Doug White must safely land a plane and save his entire family from insurmountable danger.",On a Wing and a Prayer,English,147400000.0,US
Sniper: The White Raven,08/24/2022,76.0,"War,Drama","Mykola is an eccentric pacifist who wants to be useful to humanity. When the war begins at Donbass,Mykola’s naive world is collapsing as the militants kill his pregnant wife and burn his home to the ground. Recovered,he makes a cardinal decision and gets enlisted in a sniper company. Having met his wife’s killers,he emotionally breaks down and arranges “sniper terror” for the enemy. He’s saved from a senseless death by his instructor who himself gets mortally wounded. The death of a friend leaves a “scar” and Mykola is ready to sacrifice his life.",Снайпер. Білий ворон,Ukrainian,1000000.0,UA
The Enforcer,12/01/2022,74.0,"Action,Crime,Drama,Thriller","A noir thriller set in Miami,the film follows an enforcer who discovers his femme fatale boss has branched out into cyber sex trafficking,putting a young runaway he’s befriended at risk. He sacrifices everything to save the young girl from the deadly organization he’s spent his life building.",The Enforcer,English,1261569.0,AU
Diabolik - Ginko Attacks,11/17/2022,57.0,"Crime,Action","Diabolik nearly gets caught in Inspector Ginko's latest trap,leaving his partner in crime Eva Kant behind in the escape. Furious,Eva offers Ginko her help in capturing the King of Terror,but the former has to face the return of an old flame of his.",Diabolik - Ginko all'attacco!,Italian,21680000.0,IT
Scream VI,03/09/2023,73.0,"Horror,Mystery,Thriller","Following the latest Ghostface killings,the four survivors leave Woodsboro behind and start a fresh chapter.",Scream VI,English,35000000.0,AU
Avatar,12/17/2009,76.0,"Action,Adventure,Fantasy,Science Fiction","In the 22nd century,a paraplegic Marine is dispatched to the moon Pandora on a unique mission,but becomes torn between following orders and protecting an alien civilization.",Avatar,English,237000000.0,AU
Breaking,08/26/2022,67.0,"Crime,Drama,Thriller","Desperate for money and running out of options,Marine veteran Brian Brown-Easley holds several people hostage inside a bank,setting the stage for a tense confrontation with police.",Breaking,English,72000000.0,US
Tetris,03/31/2023,78.0,"Thriller,History,Drama","In 1988,American video game salesman Henk Rogers discovers the video game Tetris. When he sets out to bring the game to the world,he enters a dangerous web of lies and corruption behind the Iron Curtain.",Tetris,English,172000000.0,GB
65,03/09/2023,63.0,"Thriller,Science Fiction,Action","After a catastrophic crash on an unknown planet,pilot Mills quickly discovers he's actually stranded on Earth…65 million years ago. Now,with only one chance at rescue,Mills and the only other survivor,Koa,must make their way across an unknown terrain riddled with dangerous prehistoric creatures in an epic fight to survive.",65,English,45000000.0,AU
Thor: Love and Thunder,07/06/2022,66.0,"Fantasy,Action,Comedy","After his retirement is interrupted by Gorr the God Butcher,a galactic killer who seeks the extinction of the gods,Thor Odinson enlists the help of King Valkyrie,Korg,and ex-girlfriend Jane Foster,who now wields Mjolnir as the Mighty Thor. Together they embark upon a harrowing cosmic adventure to uncover the mystery of the God Butcher’s vengeance and stop him before it’s too late.",Thor: Love and Thunder,English,250000000.0,AU
Arctic Void,01/14/2022,47.0,"Science Fiction,Thriller","When the power mysteriously fails,and almost everyone vanishes from a small tourist vessel in the Arctic,fear becomes the master for the three who remain. Forced ashore,the men deteriorate in body and mind until a dark truth emerges that compels them to ally or perish.",Arctic Void,English,147200000.0,US
